strategy_id,classification,allow_enter_v9,cagr,cost50_t1_cagr,max_drawdown,calmar,cost50_t1_calmar,single_year_share,top_ticker,top_ticker_share,remove_top_year_cagr,remove_top_year_calmar,remove_top_ticker_cagr,remove_top_ticker_calmar
top5_ytdcap80p_derisk100p,v9_ready_research_candidate,True,0.6421259587785142,0.5406125968868938,-0.3929853384783277,1.6339692500103946,1.345347235146365,0.496838665119886,INTC,0.1379394059321398,0.5215869085057856,1.3272426664196029,0.4896536228676063,1.3265095931979178
top10_ytdcap60p_derisk100p,v9_ready_research_candidate,True,0.5459573387436036,0.448799017627578,-0.3372420039507086,1.6188889057348888,1.305258819369314,0.4915342714111755,PLTR,0.1250868961400899,0.4434839816677813,2.226942199484336,0.448343276014437,1.4761571480031803
top10_ytdcap60p_derisk75p,v9_ready_research_candidate,True,0.5288140599776421,0.4411494808816547,-0.3372420039507089,1.5680551466979578,1.2830113880926457,0.4897694407515767,PLTR,0.1274397619714174,0.4337824634568501,1.2862646360038004,0.4325402222165024,1.4241260547045944
top10_ytdcap60p_derisk50p,v9_ready_research_candidate,True,0.5103360663540493,0.4320469973916301,-0.3372420039507088,1.5132636515486957,1.2565382979412385,0.4990365160846734,PLTR,0.1278782127378915,0.409828724798265,1.2152362991478531,0.4156680923864573,1.3685750597793207
top10_roll6mcap80p_derisk50,v9_ready_research_candidate,True,0.4900162828306613,0.4234766320645438,-0.3372420039507088,1.4530108263212729,1.2316127867680406,0.4995063247164249,PLTR,0.1264005439891499,0.3923194462989219,1.1633172668380392,0.3958824613134912,1.3034314470642006
top10_roll3mcap30p_derisk50,v9_ready_research_candidate,True,0.4386215802283051,0.3578709173636791,-0.3372420039507086,1.3006137286872907,1.0408092547839527,0.4862393631069259,PLTR,0.1254313560966217,0.3591752073172494,1.0650369856352369,0.35553790430885,1.1705981708860955
top5_dropout_mw20p,credible_but_execution_sensitive,False,0.8897277487441626,0.8607285548624093,-0.3234696224885854,2.7505759023030336,2.6408321973128115,0.5879001027509559,MSTR,0.2253578171753966,0.6656997411997538,2.057997706487089,0.6461762431610241,2.2362455372185503
top5_roll6mcap80p_derisk50,credible_but_execution_sensitive,False,0.8258335894942483,0.7308983748000386,-0.325075662377422,2.5404349973620364,2.172289017323826,0.6395753458548418,PLTR,0.145191415888191,0.4891975920094886,1.504873014583038,0.6453281563581161,2.307983804015877
top5_roll6mcap50p_derisk50,credible_but_execution_sensitive,False,0.7525072814063443,0.6534232811687515,-0.3036774823675958,2.477981823148311,2.0689841136276823,0.7144229049852021,NVDA,0.1331032351526517,0.3547965730703979,1.168333490860951,0.604936523343284,2.087460912542681
top5_voltarget20p_w60,credible_but_execution_sensitive,False,0.468261860685133,0.4172596261255317,-0.1994402543949205,2.3478803820511924,2.031788938883615,0.7125196368348521,PLTR,0.1514325633509062,0.2281952738783632,1.1441786141452857,0.3720661782566805,2.3125868468581863
top5_voltarget25p_w60,credible_but_execution_sensitive,False,0.5423231819824168,0.4808612401145753,-0.2441082616488862,2.2216502559936657,1.9149292610325368,0.7022739387493048,PLTR,0.1460145127260426,0.2706535678777404,1.1087439894477469,0.4313809874186329,2.178924040526117
