ticker,eligible_status,anomaly_types,severity,recommended_action,rationale,whether_blocks_p3
SOXL,eligible,large_daily_price_jump;audit_metadata_conflict,WARNING,KEEP_WITH_FLAG,Ticker has isolated quality flags but no direct block after this review.,False
SOXX,eligible,audit_metadata_conflict,METADATA_REVIEW,KEEP_WITH_FLAG,Only audit metadata conflict is present; price parquet is readable.,False
SPY,eligible,audit_metadata_conflict,METADATA_REVIEW,KEEP_WITH_FLAG,Only audit metadata conflict is present; price parquet is readable.,False
SSO,eligible,audit_metadata_conflict,METADATA_REVIEW,KEEP_WITH_FLAG,Only audit metadata conflict is present; price parquet is readable.,False
TLT,eligible,audit_metadata_conflict,METADATA_REVIEW,KEEP_WITH_FLAG,Only audit metadata conflict is present; price parquet is readable.,False
TQQQ,eligible,audit_metadata_conflict,METADATA_REVIEW,KEEP_WITH_FLAG,Only audit metadata conflict is present; price parquet is readable.,False
TSLA,eligible,audit_metadata_conflict,METADATA_REVIEW,KEEP_WITH_FLAG,Only audit metadata conflict is present; price parquet is readable.,False
UBER,excluded,audit_metadata_conflict,METADATA_REVIEW,KEEP_WITH_FLAG,Only audit metadata conflict is present; price parquet is readable.,False
UPRO,eligible,audit_metadata_conflict,METADATA_REVIEW,KEEP_WITH_FLAG,Only audit metadata conflict is present; price parquet is readable.,False
UPST,excluded,large_daily_price_jump;audit_metadata_conflict,WARNING,OBSERVATION_ONLY,Ticker has isolated quality flags but no direct block after this review.,False
XBI,eligible,audit_metadata_conflict,METADATA_REVIEW,KEEP_WITH_FLAG,Only audit metadata conflict is present; price parquet is readable.,False
XLK,eligible,audit_metadata_conflict,METADATA_REVIEW,KEEP_WITH_FLAG,Only audit metadata conflict is present; price parquet is readable.,False
