metric,value,evidence
eligible_ticker_count,40,outputs/us_stock_selection/limited_mve2_20260502_142702/eligible_universe_limited_mve2.csv
excluded_ticker_count,11,outputs/us_stock_selection/limited_mve2_20260502_142702/excluded_tickers_limited_mve2.csv
search_universe_count,51,outputs/us_stock_selection/limited_mve2_20260502_142702
price_file_ticker_count,51,data/unified_ohlcv/us_stock_selection/prices
validation_candidate_ticker_count,8,outputs/us_stock_selection/limited_mve2_validation_20260502_183555/validation_decision_summary.csv
universe_missing_price_count,0,none
price_not_in_search_universe_count,0,none
candidate_not_eligible_count,0,none
