ticker,universe_status,layer,bucket,reason,price_file_exists,rows,first_date,last_date
AFRM,excluded,Layer 5 - High-beta single names,NA,listed_history_lt_10y_or_mve2_not_ready,True,1331,2021-01-13,2026-05-01
COIN,excluded,Layer 5 - High-beta single names,NA,listed_history_lt_10y_or_mve2_not_ready,True,1269,2021-04-14,2026-05-01
CRWD,excluded,Layer 1 - Mega-cap tech / core technology,NA,listed_history_lt_10y_or_mve2_not_ready,True,1732,2019-06-12,2026-05-01
LCID,excluded,Layer 5 - High-beta single names,NA,listed_history_lt_10y_or_mve2_not_ready,True,1411,2020-09-18,2026-05-01
NET,excluded,Layer 1 - Mega-cap tech / core technology,NA,listed_history_lt_10y_or_mve2_not_ready,True,1667,2019-09-13,2026-05-01
PLTR,excluded,Layer 1 - Mega-cap tech / core technology,NA,listed_history_lt_10y_or_mve2_not_ready,True,1403,2020-09-30,2026-05-01
RIVN,excluded,Layer 5 - High-beta single names,NA,listed_history_lt_10y_or_mve2_not_ready,True,1122,2021-11-10,2026-05-01
ROKU,excluded,Layer 5 - High-beta single names,NA,listed_history_lt_10y_or_mve2_not_ready,True,2159,2017-09-28,2026-05-01
SNOW,excluded,Layer 1 - Mega-cap tech / core technology,NA,listed_history_lt_10y_or_mve2_not_ready,True,1413,2020-09-16,2026-05-01
UBER,excluded,v8_candidate_extension,NA,listed_history_lt_10y_or_mve2_not_ready,True,1754,2019-05-10,2026-05-01
UPST,excluded,Layer 5 - High-beta single names,NA,listed_history_lt_10y_or_mve2_not_ready,True,1349,2020-12-16,2026-05-01
