ticker,rows,adj_close_missing_count,adj_close_missing_rate,volume_missing_count,volume_missing_rate,non_positive_adj_close_count,non_positive_volume_count
AAPL,11438,0,0.0,0,0.0,0,1
ADBE,10006,0,0.0,0,0.0,0,0
AFRM,1331,0,0.0,0,0.0,0,0
AMD,11626,0,0.0,0,0.0,0,2
AMZN,7286,0,0.0,0,0.0,0,0
ARKK,2891,0,0.0,0,0.0,0,8
AVGO,4210,0,0.0,0,0.0,0,0
CIBR,2722,0,0.0,0,0.0,0,0
COIN,1269,0,0.0,0,0.0,0,0
CRM,5500,0,0.0,0,0.0,0,0
CRWD,1732,0,0.0,0,0.0,0,0
DIA,7115,0,0.0,0,0.0,0,0
GLD,5396,0,0.0,0,0.0,0,0
GOOGL,5460,0,0.0,0,0.0,0,0
IBB,6342,0,0.0,0,0.0,0,0
IGV,6235,0,0.0,0,0.0,0,7
INTC,11626,0,0.0,0,0.0,0,1
IWM,6521,0,0.0,0,0.0,0,0
LCID,1411,0,0.0,0,0.0,0,0
META,3508,0,0.0,0,0.0,0,0
MSFT,10112,0,0.0,0,0.0,0,0
MSTR,7016,0,0.0,0,0.0,0,0
MU,10561,0,0.0,0,0.0,0,0
NET,1667,0,0.0,0,0.0,0,0
NFLX,6024,0,0.0,0,0.0,0,0
NOW,3479,0,0.0,0,0.0,0,0
NVDA,6861,0,0.0,0,0.0,0,0
ORCL,10113,0,0.0,0,0.0,0,0
PANW,3465,0,0.0,0,0.0,0,0
PLTR,1403,0,0.0,0,0.0,0,0
QLD,4997,0,0.0,0,0.0,0,0
QQQ,6829,0,0.0,0,0.0,0,0
RIVN,1122,0,0.0,0,0.0,0,0
ROKU,2159,0,0.0,0,0.0,0,0
SHOP,2754,0,0.0,0,0.0,0,1
SHY,5978,0,0.0,0,0.0,0,0
SKYY,3728,0,0.0,0,0.0,0,0
SMH,6516,0,0.0,0,0.0,0,0
SNOW,1413,0,0.0,0,0.0,0,0
SOXL,4061,0,0.0,0,0.0,0,0
SOXX,6237,0,0.0,0,0.0,0,0
SPY,8371,0,0.0,0,0.0,0,0
SSO,4997,0,0.0,0,0.0,0,0
TLT,5978,0,0.0,0,0.0,0,0
TQQQ,4080,0,0.0,0,0.0,0,0
TSLA,3985,0,0.0,0,0.0,0,0
UBER,1754,0,0.0,0,0.0,0,0
UPRO,4239,0,0.0,0,0.0,0,0
UPST,1349,0,0.0,0,0.0,0,0
XBI,5091,0,0.0,0,0.0,0,0
XLK,6881,0,0.0,0,0.0,0,0
