warning_type,affected_count,affected_tickers,recommended_action
non_positive_volume,6,AAPL;AMD;ARKK;IGV;INTC;SHOP,ACCEPT_WITH_RISK_FLAG
large_daily_price_jump,7,AAPL;AMD;MSTR;ROKU;SHOP;SOXL;UPST,ACCEPT_WITH_RISK_FLAG_AND_OBSERVATION_ONLY_FOR_EXCLUDED_TICKERS
