strategy_id,ticker,return_contribution,abs_share
top5_equal_mw10p,TSLA,0.0179085433483123,0.0194724804900756
top5_equal_mw10p,NFLX,0.0173084318637847,0.0188199618040466
top5_equal_mw10p,AVGO,0.0067246675491333,0.0073119267773993
top5_equal_mw10p,CRM,-0.0026629984378814,0.0028955557198701
top5_equal_mw10p,GLD,0.0019044637680053,0.0020707788928034
top5_equal_mw10p,META,-0.0013414502143859,0.0014585978669504
top5_equal_mw10p,QQQ,0.0012947499752044,0.0014078193374711
top5_equal_mw10p,SNOW,-0.0008294105529785,0.0009018422379204
top5_equal_mw10p,PANW,0.0005251109600067,0.000570968432495
top5_equal_mw10p,SOXX,-6.198883056641492e-07,6.740225993427135e-07
top5_equal_mw10p,UPRO,0.0,0.0
top5_equal_mw10p,TLT,0.0,0.0
top5_equal_mw10p,AAPL,0.0,0.0
top5_equal_mw10p,SPY,0.0,0.0
top5_equal_mw10p,SHY,0.0,0.0
top5_equal_mw10p,MSFT,0.0,0.0
top5_equal_mw10p,IWM,0.0,0.0
top5_equal_mw10p,GOOGL,0.0,0.0
top5_equal_mw10p,AMZN,0.0,0.0
top5_equal_mw10p,XLK,0.0,0.0
top10_equal_mw20p,PLTR,0.1647141695022583,0.1268286293879359
top10_equal_mw20p,NVDA,0.1220430493354797,0.093972198750824
top10_equal_mw20p,INTC,0.1121433973312378,0.0863495437059687
top10_equal_mw20p,MSTR,0.0989601910114288,0.0761985773772533
top10_equal_mw20p,SHOP,0.0974335014820099,0.075023038314025
top10_equal_mw20p,TQQQ,0.0963478028774261,0.0741870588329406
top10_equal_mw20p,NET,0.08962162733078,0.0690079559774811
top10_equal_mw20p,QLD,0.0503382444381713,0.0387600566920299
top10_equal_mw20p,AMD,0.0492610931396484,0.0379306585701323
top10_equal_mw20p,MU,0.0401494562625885,0.0309147690441116
top10_equal_mw20p,CRM,-0.0352544844150543,0.0271456787940662
top10_equal_mw20p,AVGO,0.032007610797882,0.0246456113626716
top10_equal_mw20p,SNOW,-0.0316854894161224,0.0243975804041416
top10_equal_mw20p,ADBE,-0.0292687594890594,0.0225367171573642
top10_equal_mw20p,SOXX,0.0281364262104034,0.0216648293399636
top10_equal_mw20p,ORCL,-0.0225004374980926,0.0173251618675883
top10_equal_mw20p,SSO,0.0209462761878967,0.0161284697468342
top10_equal_mw20p,GOOGL,0.0201212108135223,0.0154931758258342
top10_equal_mw20p,CRWD,0.0201093316078186,0.0154840289298375
top10_equal_mw20p,NFLX,0.019301962852478,0.0148623612678512
top10_equal_mw20p,GLD,0.0178815841674804,0.0137686807279532
top10_equal_mw20p,NOW,0.0145122110843658,0.0111742896605704
top10_equal_mw20p,UBER,0.0142029762268066,0.0109361812254447
top10_equal_mw20p,MSFT,0.0137365579605102,0.0105770427881468
top10_equal_mw20p,TSLA,0.0126583039760589,0.0097467956066609
