strategy_id,year,year_return
top10_ytdcap40p_derisk75p,2024,0.5682885823142856
top10_ytdcap40p_derisk75p,2025,0.4402506191833049
top10_ytdcap40p_derisk75p,2026,-0.0665169219394598
top10_ytdcap40p_derisk100p,2024,0.5461379233574306
top10_ytdcap40p_derisk100p,2025,0.4009795837978269
top10_ytdcap40p_derisk100p,2026,-0.075953259228209
top10_ytdcap60p_derisk50p,2024,0.6497079887298431
top10_ytdcap60p_derisk50p,2025,0.6142951221296384
top10_ytdcap60p_derisk50p,2026,-0.0379216337009039
top10_ytdcap60p_derisk75p,2024,0.6598877866939576
top10_ytdcap60p_derisk75p,2025,0.649534312773393
top10_ytdcap60p_derisk75p,2026,-0.0379216337009039
top10_ytdcap60p_derisk100p,2024,0.6687081377082429
top10_ytdcap60p_derisk100p,2025,0.683099627601282
top10_ytdcap60p_derisk100p,2026,-0.0379216337009039
top10_ytdcap80p_derisk50p,2024,0.6856580897497759
top10_ytdcap80p_derisk50p,2025,0.5392635858751795
top10_ytdcap80p_derisk50p,2026,-0.0379216337009039
top10_ytdcap80p_derisk75p,2024,0.7158519066902274
top10_ytdcap80p_derisk75p,2025,0.5392635858751795
top10_ytdcap80p_derisk75p,2026,-0.0379216337009039
top10_ytdcap80p_derisk100p,2024,0.7460642802197219
top10_ytdcap80p_derisk100p,2025,0.5392635858751795
top10_ytdcap80p_derisk100p,2026,-0.0379216337009039
top10_roll3mcap30p_derisk50,2024,0.5472792075072155
top10_roll3mcap30p_derisk50,2025,0.5403337185820689
top10_roll3mcap30p_derisk50,2026,-0.0379216337009039
top10_roll3mcap50p_derisk50,2024,0.5959337594413401
top10_roll3mcap50p_derisk50,2025,0.5475563087651438
top10_roll3mcap50p_derisk50,2026,-0.0379216337009039
top10_roll6mcap50p_derisk50,2024,0.5850062302536272
top10_roll6mcap50p_derisk50,2025,0.4845587870159564
top10_roll6mcap50p_derisk50,2026,-0.0379216337009039
top10_roll6mcap80p_derisk50,2024,0.6253285322472715
top10_roll6mcap80p_derisk50,2025,0.5886429559302655
top10_roll6mcap80p_derisk50,2026,-0.0379216337009039
top5_regime_qqq_ma200,2024,0.3634680897978768
top5_regime_qqq_ma200,2025,0.3719791971683426
top5_regime_qqq_ma200,2026,-0.0182886521965472
top5_regime_qqq_spy_ma200,2024,0.3634680897978768
top5_regime_qqq_spy_ma200,2025,0.3719791971683426
top5_regime_qqq_spy_ma200,2026,-0.0182886521965472
top5_regime_qqq_vol35,2024,0.7847787812939464
top5_regime_qqq_vol35,2025,0.1341802544410526
top5_regime_qqq_vol35,2026,-0.0389643113449403
top10_regime_qqq_ma200,2024,0.2596816775456738
top10_regime_qqq_ma200,2025,0.2600425739392307
top10_regime_qqq_ma200,2026,-0.0457153866867124
top10_regime_qqq_spy_ma200,2024,0.2596816775456738
top10_regime_qqq_spy_ma200,2025,0.2600425739392307
top10_regime_qqq_spy_ma200,2026,-0.0457153866867124
top10_regime_qqq_vol35,2024,0.3941255632451421
top10_regime_qqq_vol35,2025,0.0621231281807055
top10_regime_qqq_vol35,2026,-0.0379216337009039
