ticker,price_file,readable,rows,date_min,date_max,adj_close_missing_count,volume_missing_count,non_positive_price_count,non_positive_volume_count,missing_handling
NOW,data/unified_ohlcv/us_stock_selection/prices/NOW.parquet,True,3479,2012-06-29 00:00:00,2026-05-01 00:00:00,0,0,0,0,rows retained for audit; strategy pivot uses forward-filled adjusted close only after first valid price
NVDA,data/unified_ohlcv/us_stock_selection/prices/NVDA.parquet,True,6861,1999-01-22 00:00:00,2026-05-01 00:00:00,0,0,0,0,rows retained for audit; strategy pivot uses forward-filled adjusted close only after first valid price
ORCL,data/unified_ohlcv/us_stock_selection/prices/ORCL.parquet,True,10113,1986-03-12 00:00:00,2026-05-01 00:00:00,0,0,0,0,rows retained for audit; strategy pivot uses forward-filled adjusted close only after first valid price
PANW,data/unified_ohlcv/us_stock_selection/prices/PANW.parquet,True,3465,2012-07-20 00:00:00,2026-05-01 00:00:00,0,0,0,0,rows retained for audit; strategy pivot uses forward-filled adjusted close only after first valid price
PLTR,data/unified_ohlcv/us_stock_selection/prices/PLTR.parquet,True,1403,2020-09-30 00:00:00,2026-05-01 00:00:00,0,0,0,0,rows retained for audit; strategy pivot uses forward-filled adjusted close only after first valid price
QLD,data/unified_ohlcv/us_stock_selection/prices/QLD.parquet,True,4997,2006-06-21 00:00:00,2026-05-01 00:00:00,0,0,0,0,rows retained for audit; strategy pivot uses forward-filled adjusted close only after first valid price
QQQ,data/unified_ohlcv/us_stock_selection/prices/QQQ.parquet,True,6829,1999-03-10 00:00:00,2026-05-01 00:00:00,0,0,0,0,rows retained for audit; strategy pivot uses forward-filled adjusted close only after first valid price
RIVN,data/unified_ohlcv/us_stock_selection/prices/RIVN.parquet,True,1122,2021-11-10 00:00:00,2026-05-01 00:00:00,0,0,0,0,rows retained for audit; strategy pivot uses forward-filled adjusted close only after first valid price
ROKU,data/unified_ohlcv/us_stock_selection/prices/ROKU.parquet,True,2159,2017-09-28 00:00:00,2026-05-01 00:00:00,0,0,0,0,rows retained for audit; strategy pivot uses forward-filled adjusted close only after first valid price
SHOP,data/unified_ohlcv/us_stock_selection/prices/SHOP.parquet,True,2754,2015-05-20 00:00:00,2026-05-01 00:00:00,0,0,0,1,rows retained for audit; strategy pivot uses forward-filled adjusted close only after first valid price
