year,year_return,abs_contribution_share,strategy_id
2024,0.8106926152371345,0.4968386021801039,top5_ytdcap80p_derisk100p
2025,0.782045301599916,0.4792818969675279,top5_ytdcap80p_derisk100p
2026,-0.03896423287485651,0.0238795008523682,top5_ytdcap80p_derisk100p
