warning_type,affected_count,affected_tickers,blocks_p3_design,needs_human_review,needs_formal_mve2_risk_flag,needs_ticker_exclusion,recommended_action,evidence_file
non_positive_volume,6,AAPL;AMD;ARKK;IGV;INTC;SHOP,False,True,True,False,ACCEPT_WITH_RISK_FLAG,outputs/us_stock_selection/formal_mve2_data_quality_gate_p2b_exceptions_20260507_151856/volume_exception_detail.csv
large_daily_price_jump,7,AAPL;AMD;MSTR;ROKU;SHOP;SOXL;UPST,False,True,True,False,ACCEPT_WITH_RISK_FLAG_AND_OBSERVATION_ONLY_FOR_EXCLUDED_TICKERS,outputs/us_stock_selection/formal_mve2_data_quality_gate_p2b_exceptions_20260507_151856/price_jump_detail.csv
