ticker,parquet_file,file_size_bytes,mtime_summary,audit_metadata_file,audit_metadata_mtime
RIVN,data/unified_ohlcv/us_stock_selection/prices/RIVN.parquet,59047,2026-05-02T10:37:38,data/unified_ohlcv/us_stock_selection/audit/price_quality_audit.csv,2026-05-02T13:57:52
ROKU,data/unified_ohlcv/us_stock_selection/prices/ROKU.parquet,115073,2026-05-02T10:37:39,data/unified_ohlcv/us_stock_selection/audit/price_quality_audit.csv,2026-05-02T13:57:52
SHOP,data/unified_ohlcv/us_stock_selection/prices/SHOP.parquet,149261,2026-05-02T10:37:11,data/unified_ohlcv/us_stock_selection/audit/price_quality_audit.csv,2026-05-02T13:57:52
SHY,data/unified_ohlcv/us_stock_selection/prices/SHY.parquet,178860,2026-05-02T10:37:46,data/unified_ohlcv/us_stock_selection/audit/price_quality_audit.csv,2026-05-02T13:57:52
SKYY,data/unified_ohlcv/us_stock_selection/prices/SKYY.parquet,174806,2026-05-02T10:37:24,data/unified_ohlcv/us_stock_selection/audit/price_quality_audit.csv,2026-05-02T13:57:52
SMH,data/unified_ohlcv/us_stock_selection/prices/SMH.parquet,303066,2026-05-02T10:37:25,data/unified_ohlcv/us_stock_selection/audit/price_quality_audit.csv,2026-05-02T13:57:52
SNOW,data/unified_ohlcv/us_stock_selection/prices/SNOW.parquet,77487,2026-05-02T10:37:12,data/unified_ohlcv/us_stock_selection/audit/price_quality_audit.csv,2026-05-02T13:57:52
SOXL,data/unified_ohlcv/us_stock_selection/prices/SOXL.parquet,211916,2026-05-02T10:37:31,data/unified_ohlcv/us_stock_selection/audit/price_quality_audit.csv,2026-05-02T13:57:52
SOXX,data/unified_ohlcv/us_stock_selection/prices/SOXX.parquet,300851,2026-05-02T10:37:26,data/unified_ohlcv/us_stock_selection/audit/price_quality_audit.csv,2026-05-02T13:57:52
SPY,data/unified_ohlcv/us_stock_selection/prices/SPY.parquet,410181,2026-05-02T10:37:18,data/unified_ohlcv/us_stock_selection/audit/price_quality_audit.csv,2026-05-02T13:57:52
SSO,data/unified_ohlcv/us_stock_selection/prices/SSO.parquet,263352,2026-05-02T10:37:33,data/unified_ohlcv/us_stock_selection/audit/price_quality_audit.csv,2026-05-02T13:57:52
TLT,data/unified_ohlcv/us_stock_selection/prices/TLT.parquet,265766,2026-05-02T10:37:47,data/unified_ohlcv/us_stock_selection/audit/price_quality_audit.csv,2026-05-02T13:57:52
TQQQ,data/unified_ohlcv/us_stock_selection/prices/TQQQ.parquet,217468,2026-05-02T10:37:34,data/unified_ohlcv/us_stock_selection/audit/price_quality_audit.csv,2026-05-02T13:57:52
TSLA,data/unified_ohlcv/us_stock_selection/prices/TSLA.parquet,210617,2026-05-02T10:37:12,data/unified_ohlcv/us_stock_selection/audit/price_quality_audit.csv,2026-05-02T13:57:52
UBER,data/unified_ohlcv/us_stock_selection/prices/UBER.parquet,92023,2026-05-02T10:37:48,data/unified_ohlcv/us_stock_selection/audit/price_quality_audit.csv,2026-05-02T13:57:52
UPRO,data/unified_ohlcv/us_stock_selection/prices/UPRO.parquet,225454,2026-05-02T10:37:35,data/unified_ohlcv/us_stock_selection/audit/price_quality_audit.csv,2026-05-02T13:57:52
UPST,data/unified_ohlcv/us_stock_selection/prices/UPST.parquet,74615,2026-05-02T10:37:40,data/unified_ohlcv/us_stock_selection/audit/price_quality_audit.csv,2026-05-02T13:57:52
XBI,data/unified_ohlcv/us_stock_selection/prices/XBI.parquet,251887,2026-05-02T10:37:28,data/unified_ohlcv/us_stock_selection/audit/price_quality_audit.csv,2026-05-02T13:57:52
XLK,data/unified_ohlcv/us_stock_selection/prices/XLK.parquet,312791,2026-05-02T10:37:29,data/unified_ohlcv/us_stock_selection/audit/price_quality_audit.csv,2026-05-02T13:57:52
